timestamp staDev_x staDev_y staDev_z
1403636867.601666 0.016071 0.027617 0.040978
1403636868.151666 0.016457 0.040890 0.039374
1403636868.901667 0.018117 0.054100 0.037784
1403636869.451666 0.018415 0.055903 0.036312
1403636869.851666 0.018807 0.058785 0.034994
1403636870.151666 0.018538 0.060314 0.033832
1403636870.601666 0.017980 0.062928 0.032759
1403636870.801666 0.017535 0.063989 0.031782
1403636871.951666 0.017226 0.064355 0.030914
1403636872.151666 0.016954 0.064686 0.030107
1403636872.601666 0.010912 0.066406 0.027479
1403636873.051666 0.010936 0.066712 0.026805
1403636873.851666 0.009959 0.057463 0.016472
1403636874.451666 0.009962 0.058056 0.016112
1403636874.751667 0.010101 0.057172 0.015932
1403636875.201667 0.010052 0.057204 0.015628
1403636875.651666 0.009426 0.048092 0.016052
1403636876.001667 0.009745 0.047694 0.015679
1403636876.751667 0.008196 0.041054 0.015282
1403636877.301666 0.007724 0.034287 0.013806
1403636877.901667 0.008076 0.016287 0.008623
1403636878.401667 0.008589 0.015193 0.008825
1403636879.151666 0.009046 0.015108 0.009012
1403636880.051666 0.009843 0.012387 0.007663
1403636880.701667 0.009693 0.011852 0.006812
1403636881.551666 0.009870 0.011817 0.005866
1403636882.151666 0.009587 0.011810 0.004626
1403636882.601666 0.009829 0.012450 0.003704
1403636883.401667 0.010057 0.013067 0.002867
1403636884.001667 0.009931 0.013445 0.002806
1403636904.501667 0.001302 0.001684 0.001428
