timestamp staDev_yaw staDev_roll staDev_pitch
1403636867.301666 1.376591 0.295680 5.939857
1403636867.601666 1.330787 0.283394 5.702414
1403636868.151666 1.283163 0.278859 5.518420
1403636868.901667 1.238355 0.277666 5.349043
1403636869.451666 1.198406 0.275488 5.196948
1403636869.851666 1.161745 0.274132 5.058326
1403636870.151666 1.126850 0.271761 4.917070
1403636870.601666 1.093685 0.274713 4.778054
1403636870.801666 1.063152 0.280377 4.651250
1403636871.951666 1.034876 0.293650 4.531996
1403636872.151666 1.008677 0.307885 4.420102
1403636872.601666 0.149124 0.299023 0.463675
1403636873.051666 0.155241 0.315444 0.456043
1403636873.851666 0.173351 0.329266 0.483832
1403636874.451666 0.177605 0.333956 0.485696
1403636874.751667 0.184326 0.342673 0.501992
1403636875.201667 0.185266 0.344042 0.504798
1403636875.651666 0.192251 0.335146 0.511177
1403636876.001667 0.189594 0.336122 0.500765
1403636876.751667 0.189095 0.297757 0.498153
1403636877.301666 0.170129 0.257110 0.492762
1403636877.901667 0.144709 0.223652 0.492840
1403636878.401667 0.132520 0.216552 0.459186
1403636879.151666 0.125090 0.208003 0.419461
1403636880.051666 0.090624 0.181518 0.253759
1403636880.701667 0.069871 0.145765 0.206210
1403636881.551666 0.070194 0.146519 0.200235
1403636882.151666 0.072488 0.154229 0.207367
1403636882.601666 0.081889 0.171781 0.210769
1403636883.401667 0.089038 0.188420 0.214698
1403636884.001667 0.094315 0.195173 0.204890
1403636904.501667 0.010632 0.011020 0.006775
