timestamp e_yaw e_pitch e_roll
1403636862.601666 -4.098430 0.684038 20.354673
1403636862.601666 0.098348 1.596955 1.319241
1403636863.151666 0.510651 1.485284 0.219979
1403636863.351666 0.518397 1.535876 0.310153
1403636863.501667 0.448736 1.603978 0.637750
1403636864.551666 0.376421 1.402089 0.334684
1403636865.251667 0.408672 1.517167 0.543000
1403636865.551666 0.441883 1.597447 0.624743
1403636866.351666 0.573634 1.805576 0.637767
1403636867.301666 0.761254 1.772039 0.576018
1403636867.601666 0.768144 1.600438 0.240387
1403636868.151666 0.623283 1.276286 -0.561004
1403636868.901667 0.558030 1.216096 -0.555378
1403636869.451666 0.581745 1.214024 -0.676250
1403636869.851666 0.568562 1.187215 -0.753135
1403636870.151666 0.486194 1.191987 -0.250944
1403636870.601666 0.364303 1.089869 0.278110
1403636870.801666 0.341328 1.024676 0.192743
1403636871.951666 0.298365 0.892262 0.369999
1403636872.151666 0.230885 0.831664 0.525565
1403636872.601666 0.238198 0.787544 0.482692
1403636873.051666 0.228675 0.763784 0.447466
1403636873.851666 0.200898 0.793805 0.711501
1403636874.451666 0.198920 0.799710 0.708307
1403636874.751667 0.208259 0.780971 0.781419
1403636875.201667 0.217768 0.786721 0.797366
1403636875.651666 0.281562 0.709387 0.561151
1403636876.001667 0.274390 0.716853 0.468297
1403636876.751667 0.219788 0.705762 0.563977
1403636877.301666 0.238126 0.550128 0.135064
1403636877.901667 0.195444 0.542767 0.178217
1403636878.401667 0.152053 0.561579 0.219096
1403636879.151666 0.114428 0.581169 0.324718
1403636880.051666 0.059537 0.505160 0.312359
1403636880.701667 0.085604 0.452440 0.265853
1403636881.551666 0.060648 0.352805 0.300129
1403636882.151666 0.064217 0.323276 0.302517
1403636882.601666 0.001219 0.258049 0.277046
1403636883.401667 -0.002531 0.216127 0.257209
1403636884.001667 0.005737 0.228745 0.259563
1403636897.751667 -0.029872 0.202035 0.245269
1403636898.401667 -0.018104 0.219936 0.264409
1403636899.101666 -0.031025 0.215505 0.254078
1403636899.901667 -0.019441 0.196575 0.262680
1403636900.551666 -0.011998 0.203416 0.266841
1403636901.201667 -0.010567 0.201022 0.259478
1403636901.901667 -0.012438 0.195523 0.263043
1403636902.501667 -0.011684 0.192231 0.261489
1403636903.401667 0.000475 0.221815 0.252889
1403636904.501667 0.003584 0.221953 0.249373
