timestamp e_x e_y e_z
1403636862.601666 0.097445 -0.086027 0.071758
1403636863.151666 0.048755 -0.087262 0.093046
1403636863.351666 0.046513 -0.171693 0.048123
1403636863.501667 0.055807 -0.161147 0.052677
1403636864.551666 0.037412 -0.099565 0.019744
1403636865.251667 0.046577 -0.122696 0.009970
1403636865.551666 0.049548 -0.121179 0.006489
1403636866.351666 0.054353 -0.112895 -0.012314
1403636867.301666 0.048796 -0.095513 -0.023700
1403636867.601666 0.037881 -0.121434 -0.041174
1403636868.151666 0.031431 -0.009124 0.005511
1403636868.901667 0.018053 0.027045 0.011674
1403636869.451666 0.025157 -0.019564 0.023414
1403636869.851666 0.021784 0.000527 0.022210
1403636870.151666 0.029507 -0.002905 0.015399
1403636870.601666 0.038913 0.017940 0.018879
1403636870.801666 0.035415 0.008654 0.019240
1403636871.951666 0.031535 0.004262 0.014355
1403636872.151666 0.030684 0.008279 0.015134
1403636872.601666 0.026836 0.013759 0.013812
1403636873.051666 0.025950 0.019192 0.011425
1403636873.851666 0.026357 0.015518 0.004253
1403636874.451666 0.023931 0.036948 0.000332
1403636874.751667 0.025037 0.033921 -0.001574
1403636875.201667 0.023745 0.037235 -0.002080
1403636875.651666 0.016145 0.038270 -0.000626
1403636876.001667 0.015177 0.035135 0.000244
1403636876.751667 0.017595 0.032838 -0.002319
1403636877.301666 0.007815 0.025095 0.002006
1403636877.901667 0.007810 0.016846 0.000532
1403636878.401667 0.007997 0.012865 -0.000441
1403636879.151666 0.009070 0.011712 -0.001001
1403636880.051666 0.007204 0.007586 0.007496
1403636880.701667 0.003275 0.008096 0.004628
1403636881.551666 -0.001194 0.009309 0.006552
1403636882.151666 -0.001480 0.003893 0.001099
1403636882.601666 -0.002880 0.003062 0.003657
1403636883.401667 -0.005364 0.003608 0.002243
1403636884.001667 -0.005708 0.005664 0.002869
1403636897.751667 -0.006569 0.003843 0.002771
1403636898.401667 -0.006091 0.004042 0.001948
1403636899.101666 -0.004373 -0.000358 0.001625
1403636899.901667 -0.003037 -0.000019 0.002881
1403636900.551666 -0.003968 0.000129 -0.001582
1403636901.201667 -0.003299 -0.000532 -0.000418
1403636901.901667 -0.004816 -0.000661 -0.000277
1403636902.501667 -0.005433 0.000756 0.000535
1403636903.401667 -0.003309 0.001244 0.000183
1403636904.501667 -0.002465 0.002493 -0.000402
