timestamp x y z
1403636862.601666 -0.112213 0.023170 -0.043135
1403636863.151666 -0.060287 -0.010533 -0.058287
1403636863.351666 -0.075824 0.052915 -0.039805
1403636863.501667 -0.084424 0.039639 -0.029705
1403636864.551666 -0.061934 0.027387 -0.020608
1403636865.251667 -0.070081 0.021515 -0.012573
1403636865.551666 -0.073889 0.032125 -0.004909
1403636866.351666 -0.077521 0.033632 0.010462
1403636867.301666 -0.080332 0.012254 -0.003105
1403636867.601666 -0.056535 0.008340 -0.003399
1403636868.151666 -0.033209 -0.023939 -0.035381
1403636868.901667 -0.037402 -0.038889 -0.008696
1403636869.451666 -0.031395 -0.034932 -0.003514
1403636869.851666 -0.029556 -0.055817 -0.003022
1403636870.151666 -0.040181 -0.041109 0.011031
1403636870.601666 -0.048259 -0.047425 -0.001823
1403636870.801666 -0.049758 -0.048220 0.012819
1403636871.951666 -0.047183 -0.043776 0.023502
1403636872.151666 -0.045735 -0.039909 0.028665
1403636872.601666 -0.049062 -0.037531 0.026747
1403636873.051666 -0.049760 -0.045890 0.025982
1403636873.851666 -0.042787 -0.060124 0.028877
1403636874.451666 -0.050916 -0.068079 0.032794
1403636874.751667 -0.053194 -0.077325 0.038407
1403636875.201667 -0.054615 -0.081652 0.040320
1403636875.651666 -0.029176 -0.078145 0.021412
1403636876.001667 -0.015223 -0.067826 0.005119
1403636876.751667 -0.012048 -0.070461 0.011985
1403636877.301666 -0.008181 -0.053450 -0.018731
1403636877.901667 -0.001234 -0.057944 -0.004661
1403636878.401667 -0.003806 -0.059028 0.001848
1403636879.151666 -0.010204 -0.058672 0.007807
1403636880.051666 -0.003582 -0.055566 -0.002722
1403636880.701667 0.001573 -0.055426 -0.006939
1403636881.551666 0.003484 -0.055331 -0.006140
1403636882.151666 0.005929 -0.055243 -0.001693
1403636882.601666 0.005594 -0.055371 -0.006775
1403636883.401667 0.009287 -0.054681 -0.006380
1403636884.001667 0.010087 -0.054889 -0.005354
1403636897.751667 0.008932 -0.055218 -0.004535
1403636898.401667 0.006814 -0.055841 -0.001624
1403636899.101666 0.006886 -0.055978 -0.002016
1403636899.901667 0.005515 -0.055778 -0.000629
1403636900.551666 0.004645 -0.055789 0.000632
1403636901.201667 0.004614 -0.055797 0.000761
1403636901.901667 0.004310 -0.055591 0.001431
1403636902.501667 0.003834 -0.055527 0.001974
1403636903.401667 0.003976 -0.055597 0.002427
1403636904.501667 0.003475 -0.055577 0.002921
