timestamp x y z
1403636862.601666 -0.119085 0.021350 -0.061947
1403636863.151666 -0.070395 0.022585 -0.083236
1403636863.351666 -0.068153 0.107016 -0.038312
1403636863.501667 -0.077447 0.096470 -0.042866
1403636864.551666 -0.059052 0.034888 -0.009933
1403636865.251667 -0.068217 0.058020 -0.000159
1403636865.551666 -0.071188 0.056502 0.003321
1403636866.351666 -0.075993 0.048218 0.022125
1403636867.301666 -0.070436 0.030836 0.033511
1403636867.601666 -0.059521 0.056757 0.050985
1403636868.151666 -0.053071 -0.055553 0.004300
1403636868.901667 -0.039693 -0.091722 -0.001863
1403636869.451666 -0.046797 -0.045113 -0.013603
1403636869.851666 -0.043425 -0.065204 -0.012399
1403636870.151666 -0.051147 -0.061772 -0.005589
1403636870.601666 -0.060553 -0.082617 -0.009068
1403636870.801666 -0.057055 -0.073331 -0.009429
1403636871.951666 -0.053175 -0.068939 -0.004544
1403636872.151666 -0.052324 -0.072956 -0.005324
1403636872.601666 -0.048476 -0.078436 -0.004001
1403636873.051666 -0.047591 -0.083869 -0.001614
1403636873.851666 -0.047998 -0.080195 0.005558
1403636874.451666 -0.045571 -0.101625 0.009478
1403636874.751667 -0.046678 -0.098598 0.011384
1403636875.201667 -0.045385 -0.101912 0.011890
1403636875.651666 -0.037785 -0.102947 0.010436
1403636876.001667 -0.036817 -0.099812 0.009566
1403636876.751667 -0.039235 -0.097515 0.012130
1403636877.301666 -0.029455 -0.089772 0.007805
1403636877.901667 -0.029450 -0.081523 0.009279
1403636878.401667 -0.029637 -0.077542 0.010252
1403636879.151666 -0.030711 -0.076389 0.010811
1403636880.051666 -0.028845 -0.072263 0.002314
1403636880.701667 -0.024915 -0.072773 0.005183
1403636881.551666 -0.020446 -0.073986 0.003258
1403636882.151666 -0.020160 -0.068570 0.008712
1403636882.601666 -0.018760 -0.067739 0.006154
1403636883.401667 -0.016276 -0.068285 0.007568
1403636884.001667 -0.015933 -0.070341 0.006941
1403636897.751667 -0.015071 -0.068520 0.007039
1403636898.401667 -0.015549 -0.068719 0.007863
1403636899.101666 -0.017267 -0.064319 0.008186
1403636899.901667 -0.018603 -0.064658 0.006929
1403636900.551666 -0.017672 -0.064806 0.011393
1403636901.201667 -0.018341 -0.064145 0.010229
1403636901.901667 -0.016824 -0.064016 0.010088
1403636902.501667 -0.016207 -0.065433 0.009276
1403636903.401667 -0.018331 -0.065921 0.009628
1403636904.501667 -0.019175 -0.067170 0.010212
